device,useragent
linux,Mozilla/5.0 (Linux; Linux i661 x86_64) Gecko/20100101 Firefox/46.1
linux,"Mozilla/5.0 (Linux; U; Linux i653 x86_64; en-US) AppleWebKit/536.28 (KHTML, like Gecko) Chrome/48.0.2665.350 Safari/600"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_7_2; like Mac OS X) AppleWebKit/535.14 (KHTML, like Gecko)  Chrome/53.0.2767.366 Mobile Safari/536.8"
android,"Mozilla/5.0 (Linux; U; Android 5.0.2; SM-G440 Build/LRX22C) AppleWebKit/603.1 (KHTML, like Gecko)  Chrome/53.0.2508.322 Mobile Safari/536.4"
android,"Mozilla/5.0 (Android; Android 7.0; SAMSUNG GT-I9700 Build/KTU84P) AppleWebKit/600.29 (KHTML, like Gecko)  Chrome/54.0.2701.382 Mobile Safari/601.3"
linux,"Mozilla/5.0 (Linux; Linux i644 x86_64; en-US) AppleWebKit/536.32 (KHTML, like Gecko) Chrome/52.0.1116.156 Safari/600"
windows,"Mozilla/5.0 (Windows; Windows NT 6.0; x64; en-US) AppleWebKit/536.43 (KHTML, like Gecko) Chrome/55.0.1705.316 Safari/537.4 Edge/8.36657"
firefox,Mozilla/5.0 (Linux; U; Linux i574 ) Gecko/20100101 Firefox/53.1
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.1; WOW64 Trident/4.0)
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/536.28 (KHTML, like Gecko) Chrome/51.0.1730.282 Safari/533"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3_9; like Mac OS X) AppleWebKit/533.4 (KHTML, like Gecko)  Chrome/53.0.2131.235 Mobile Safari/603.3"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_5_4 like Mac OS X) AppleWebKit/533.42 (KHTML, like Gecko)  Chrome/47.0.3208.122 Mobile Safari/537.6"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_4_4; like Mac OS X) AppleWebKit/534.28 (KHTML, like Gecko)  Chrome/55.0.2495.145 Mobile Safari/535.1"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_2_1) AppleWebKit/534.25 (KHTML, like Gecko) Chrome/48.0.3323.127 Safari/601"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/55.6
android,"Mozilla/5.0 (Linux; U; Android 5.1.1; MOTO XT1575 Build/LPH223) AppleWebKit/533.25 (KHTML, like Gecko)  Chrome/48.0.2824.373 Mobile Safari/535.8"
mobile,"Mozilla/5.0 (Linux; Android 5.1; Nexus 8 Build/LMY48B) AppleWebKit/535.12 (KHTML, like Gecko)  Chrome/51.0.2277.272 Mobile Safari/600.5"
firefox,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20100101 Firefox/46.6
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.0; Win64; x64 Trident/5.0)
chrome,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/54.0.3591.198 Safari/537"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_4; en-US) AppleWebKit/600.29 (KHTML, like Gecko) Chrome/50.0.1707.210 Safari/601"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/602.47 (KHTML, like Gecko) Chrome/52.0.3561.197 Safari/602"
windows,Mozilla/5.0 (Windows; Windows NT 10.2; x64; en-US) Gecko/20100101 Firefox/60.6
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_6) Gecko/20130401 Firefox/64.0
android,"Mozilla/5.0 (Linux; U; Android 4.4.4; XT1080 Build/SU6-7.3) AppleWebKit/601.2 (KHTML, like Gecko)  Chrome/48.0.3238.377 Mobile Safari/536.2"
windows,"Mozilla/5.0 (Windows; Windows NT 6.1; Win64; x64) AppleWebKit/603.45 (KHTML, like Gecko) Chrome/54.0.1172.379 Safari/602"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_7_6; like Mac OS X) AppleWebKit/534.33 (KHTML, like Gecko)  Chrome/49.0.1592.111 Mobile Safari/600.8"
linux,"Mozilla/5.0 (U; Linux i684 x86_64) AppleWebKit/603.16 (KHTML, like Gecko) Chrome/52.0.1538.399 Safari/533"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_0_0) Gecko/20130401 Firefox/50.0
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.0; Win64; x64) AppleWebKit/601.13 (KHTML, like Gecko) Chrome/55.0.1367.331 Safari/533.0 Edge/14.36989"
mobile,"Mozilla/5.0 (Android; Android 5.1.1; Nexus 8 Build/LRX22C) AppleWebKit/536.31 (KHTML, like Gecko)  Chrome/54.0.3689.184 Mobile Safari/537.1"
windows,"Mozilla/5.0 (Windows; Windows NT 10.3; x64) AppleWebKit/536.26 (KHTML, like Gecko) Chrome/51.0.2815.384 Safari/600.8 Edge/9.76663"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_8_7; like Mac OS X) AppleWebKit/537.7 (KHTML, like Gecko)  Chrome/54.0.2419.118 Mobile Safari/603.9"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)
edge,"Mozilla/5.0 (Windows NT 10.2; x64) AppleWebKit/533.45 (KHTML, like Gecko) Chrome/48.0.2763.308 Safari/602.4 Edge/13.51328"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0;; en-US) AppleWebKit/603.18 (KHTML, like Gecko) Chrome/50.0.3709.115 Safari/602.2 Edge/14.90282"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_5_2; like Mac OS X) AppleWebKit/600.16 (KHTML, like Gecko)  Chrome/48.0.3986.130 Mobile Safari/603.2"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_9_6) AppleWebKit/602.33 (KHTML, like Gecko) Chrome/49.0.3019.218 Safari/602"
mobile,"Mozilla/5.0 (Android; Android 4.4.1; SAMSUNG SM-G900A Build/KOT49H) AppleWebKit/534.13 (KHTML, like Gecko)  Chrome/52.0.1901.139 Mobile Safari/601.0"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/4.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_8_9) Gecko/20100101 Firefox/66.4
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.2;; en-US) AppleWebKit/535.16 (KHTML, like Gecko) Chrome/55.0.3085.311 Safari/537"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_3_5) AppleWebKit/603.32 (KHTML, like Gecko) Chrome/54.0.1514.188 Safari/537"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_1) AppleWebKit/603.40 (KHTML, like Gecko) Chrome/51.0.3711.144 Safari/533"
linux,Mozilla/5.0 (Linux i566 ; en-US) Gecko/20100101 Firefox/73.1
windows,Mozilla/5.0 (Windows; Windows NT 10.3;; en-US) Gecko/20100101 Firefox/60.9
linux,"Mozilla/5.0 (Linux x86_64) AppleWebKit/537.39 (KHTML, like Gecko) Chrome/54.0.2483.319 Safari/603"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_9_5 like Mac OS X) AppleWebKit/533.36 (KHTML, like Gecko)  Chrome/53.0.3197.129 Mobile Safari/602.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_0; like Mac OS X) AppleWebKit/603.7 (KHTML, like Gecko)  Chrome/53.0.3175.136 Mobile Safari/536.6"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2;; en-US) AppleWebKit/533.6 (KHTML, like Gecko) Chrome/53.0.3276.331 Safari/537.3 Edge/16.57728"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.3; WOW64; en-US Trident/6.0)
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_7; en-US) AppleWebKit/536.43 (KHTML, like Gecko) Chrome/51.0.3687.276 Safari/600"
chrome,"Mozilla/5.0 (Windows NT 10.4; Win64; x64; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/53.0.3324.244 Safari/534"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; Win64; x64) AppleWebKit/603.21 (KHTML, like Gecko) Chrome/51.0.2223.233 Safari/602.7 Edge/10.28260"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4;) AppleWebKit/601.4 (KHTML, like Gecko) Chrome/47.0.3663.183 Safari/600.8 Edge/11.63523"
android,"Mozilla/5.0 (Android; Android 4.4.4; Nexus_S_Build/GRJ22) AppleWebKit/533.9 (KHTML, like Gecko)  Chrome/54.0.3810.142 Mobile Safari/533.3"
mobile,"Mozilla/5.0 (Android; Android 6.0.1; SM-D9350I Build/MMB29K) AppleWebKit/603.9 (KHTML, like Gecko)  Chrome/52.0.3636.264 Mobile Safari/600.0"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.4;) AppleWebKit/533.29 (KHTML, like Gecko) Chrome/52.0.1223.140 Safari/602"
android,"Mozilla/5.0 (Linux; Android 5.1; SAMSUNG SM-G928FD Build/LMY47X) AppleWebKit/533.45 (KHTML, like Gecko)  Chrome/51.0.3382.389 Mobile Safari/537.5"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_4; en-US) Gecko/20100101 Firefox/63.5
edge,"Mozilla/5.0 (Windows; Windows NT 10.3;; en-US) AppleWebKit/601.15 (KHTML, like Gecko) Chrome/47.0.1906.132 Safari/601.6 Edge/18.66658"
mobile,"Mozilla/5.0 (Android; Android 7.1.1; Xperia V Build/NDE63X) AppleWebKit/534.36 (KHTML, like Gecko)  Chrome/49.0.1896.189 Mobile Safari/537.2"
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/536.20 (KHTML, like Gecko) Chrome/49.0.3986.372 Safari/537"
linux,Mozilla/5.0 (Linux i681 x86_64) Gecko/20100101 Firefox/46.7
windows,"Mozilla/5.0 (Windows NT 10.4;) AppleWebKit/600.4 (KHTML, like Gecko) Chrome/51.0.3370.382 Safari/601.4 Edge/15.79526"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.3; Trident/7.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_7_4; like Mac OS X) AppleWebKit/603.14 (KHTML, like Gecko)  Chrome/53.0.2528.362 Mobile Safari/602.5"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_0_5; en-US) Gecko/20100101 Firefox/63.8
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_0_0; en-US) AppleWebKit/601.13 (KHTML, like Gecko) Chrome/54.0.1726.265 Safari/602"
windows,"Mozilla/5.0 (Windows NT 10.2;) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/49.0.3353.263 Safari/535"
firefox,Mozilla/5.0 (Windows NT 10.1; x64) Gecko/20130401 Firefox/59.4
mobile,"Mozilla/5.0 (Linux; U; Android 5.0.2; SM-A700H Build/LMY47X) AppleWebKit/533.18 (KHTML, like Gecko)  Chrome/50.0.2462.263 Mobile Safari/603.6"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_1_5; en-US) Gecko/20130401 Firefox/67.0
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_4; like Mac OS X) AppleWebKit/533.32 (KHTML, like Gecko)  Chrome/54.0.1750.232 Mobile Safari/533.0"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 7_6_3; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko)  Chrome/48.0.3469.175 Mobile Safari/601.9"
mobile,"Mozilla/5.0 (Android; Android 7.1.1; Pixel XL Build/NME91E) AppleWebKit/600.35 (KHTML, like Gecko)  Chrome/49.0.2175.368 Mobile Safari/534.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_3; like Mac OS X) AppleWebKit/534.45 (KHTML, like Gecko)  Chrome/49.0.1875.381 Mobile Safari/603.3"
linux,Mozilla/5.0 (Linux; U; Linux i662 x86_64; en-US) Gecko/20130401 Firefox/63.9
edge,"Mozilla/5.0 (Windows NT 10.2;) AppleWebKit/537.33 (KHTML, like Gecko) Chrome/54.0.1096.125 Safari/536.7 Edge/12.70963"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.0; x64; en-US) AppleWebKit/533.34 (KHTML, like Gecko) Chrome/47.0.3717.101 Safari/533.2 Edge/14.85256"
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; WOW64; en-US) AppleWebKit/601.46 (KHTML, like Gecko) Chrome/51.0.1972.100 Safari/601.8 Edge/11.24110"
chrome,"Mozilla/5.0 (Windows NT 10.5; x64; en-US) AppleWebKit/600.6 (KHTML, like Gecko) Chrome/48.0.2722.298 Safari/603"
linux,"Mozilla/5.0 (Linux i643 ; en-US) AppleWebKit/537.48 (KHTML, like Gecko) Chrome/50.0.1441.155 Safari/536"
windows,"Mozilla/5.0 (Windows; Windows NT 6.2; x64; en-US) AppleWebKit/534.34 (KHTML, like Gecko) Chrome/50.0.2022.170 Safari/603.7 Edge/17.70181"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/49.0.3987.300 Safari/534"
mobile,"Mozilla/5.0 (Android; Android 5.0.1; LG-D723 Build/LRX22G) AppleWebKit/534.29 (KHTML, like Gecko)  Chrome/54.0.2525.161 Mobile Safari/603.5"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_3; like Mac OS X) AppleWebKit/601.48 (KHTML, like Gecko)  Chrome/51.0.2837.334 Mobile Safari/534.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_6_6; like Mac OS X) AppleWebKit/603.8 (KHTML, like Gecko)  Chrome/54.0.1132.308 Mobile Safari/534.9"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.0; x64; en-US Trident/4.0)
firefox,Mozilla/5.0 (Windows NT 10.1; x64; en-US) Gecko/20130401 Firefox/46.1
edge,"Mozilla/5.0 (Windows; Windows NT 10.0;; en-US) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/52.0.3089.172 Safari/537.4 Edge/8.82182"
linux,"Mozilla/5.0 (Linux; Linux i586 x86_64) AppleWebKit/536.49 (KHTML, like Gecko) Chrome/47.0.3752.124 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.0;; en-US Trident/7.0)
android,"Mozilla/5.0 (Android; Android 6.0.1; Nexus 5P Build/MMB29V) AppleWebKit/535.29 (KHTML, like Gecko)  Chrome/51.0.3364.254 Mobile Safari/536.0"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_7) AppleWebKit/600.43 (KHTML, like Gecko) Chrome/52.0.1470.339 Safari/600"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_9; like Mac OS X) AppleWebKit/535.36 (KHTML, like Gecko)  Chrome/50.0.1361.386 Mobile Safari/603.2"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.1; WOW64; en-US Trident/5.0)
android,"Mozilla/5.0 (Android; Android 4.3.1; GT-I9400 Build/JDQ39) AppleWebKit/533.46 (KHTML, like Gecko)  Chrome/52.0.3782.263 Mobile Safari/536.4"
edge,"Mozilla/5.0 (Windows NT 10.5; Win64; x64; en-US) AppleWebKit/600.39 (KHTML, like Gecko) Chrome/49.0.2707.333 Safari/602.7 Edge/8.80895"
windows,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/535.13 (KHTML, like Gecko) Chrome/48.0.2210.134 Safari/534"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.3;; en-US) Gecko/20100101 Firefox/64.1
linux,Mozilla/5.0 (Linux i661 x86_64) Gecko/20130401 Firefox/63.6
edge,"Mozilla/5.0 (Windows NT 10.5; Win64; x64; en-US) AppleWebKit/603.42 (KHTML, like Gecko) Chrome/51.0.2621.259 Safari/603.5 Edge/8.78462"
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; GT-I9200 Build/KTU84P) AppleWebKit/600.48 (KHTML, like Gecko)  Chrome/48.0.1087.392 Mobile Safari/603.6"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_7_4; en-US) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/52.0.2411.197 Safari/536"
windows,Mozilla/5.0 (Windows; Windows NT 6.0; Win64; x64; en-US) Gecko/20100101 Firefox/60.1
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_6_6; like Mac OS X) AppleWebKit/534.32 (KHTML, like Gecko)  Chrome/53.0.3134.238 Mobile Safari/536.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_5_4; like Mac OS X) AppleWebKit/603.20 (KHTML, like Gecko)  Chrome/54.0.2112.117 Mobile Safari/534.2"
mobile,"Mozilla/5.0 (Android; Android 7.1.1; Pixel XL Build/NME91E) AppleWebKit/602.35 (KHTML, like Gecko)  Chrome/54.0.3349.129 Mobile Safari/601.5"
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)
firefox,Mozilla/5.0 (Windows; Windows NT 6.2; x64; en-US) Gecko/20130401 Firefox/66.0
android,"Mozilla/5.0 (Linux; Android 7.1; Xperia Build/NDE63X) AppleWebKit/533.41 (KHTML, like Gecko)  Chrome/54.0.1487.288 Mobile Safari/535.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4; like Mac OS X) AppleWebKit/603.25 (KHTML, like Gecko)  Chrome/47.0.3127.307 Mobile Safari/535.3"
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/600.16 (KHTML, like Gecko) Chrome/52.0.3859.372 Safari/535"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64; en-US) AppleWebKit/537.10 (KHTML, like Gecko) Chrome/53.0.1015.253 Safari/601.4 Edge/17.98339"
android,"Mozilla/5.0 (Android; Android 7.0; Pixel XL Build/NRD90M) AppleWebKit/534.49 (KHTML, like Gecko)  Chrome/52.0.2464.252 Mobile Safari/602.4"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.3; x64; en-US Trident/7.0)
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_8_5; like Mac OS X) AppleWebKit/603.26 (KHTML, like Gecko)  Chrome/54.0.2619.258 Mobile Safari/602.7"
chrome,"Mozilla/5.0 (U; Linux i570 x86_64; en-US) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/47.0.2386.306 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_5; like Mac OS X) AppleWebKit/533.17 (KHTML, like Gecko)  Chrome/47.0.1090.265 Mobile Safari/603.8"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_1_4) AppleWebKit/537.23 (KHTML, like Gecko) Chrome/48.0.2498.282 Safari/601"
linux,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20100101 Firefox/55.3
firefox,Mozilla/5.0 (Windows NT 6.1; WOW64; en-US) Gecko/20100101 Firefox/61.1
linux,"Mozilla/5.0 (Linux i555 x86_64) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/52.0.2143.124 Safari/600"
mobile,"Mozilla/5.0 (Android; Android 5.1; SAMSUNG SM-G920X Build/LMY47X) AppleWebKit/603.31 (KHTML, like Gecko)  Chrome/53.0.1450.112 Mobile Safari/601.5"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.1;; en-US) AppleWebKit/536.45 (KHTML, like Gecko) Chrome/51.0.2331.331 Safari/537"
mobile,"Mozilla/5.0 (Linux; U; Android 7.1; LG-H900 Build/NRD90M) AppleWebKit/601.25 (KHTML, like Gecko)  Chrome/51.0.3431.175 Mobile Safari/533.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3_9; like Mac OS X) AppleWebKit/534.30 (KHTML, like Gecko)  Chrome/55.0.2492.187 Mobile Safari/537.9"
windows,"Mozilla/5.0 (Windows; Windows NT 6.2;) AppleWebKit/537.26 (KHTML, like Gecko) Chrome/47.0.2077.385 Safari/603.4 Edge/11.47281"
android,"Mozilla/5.0 (Linux; U; Android 6.0.1; HTC One M8 Pro Build/MRA58K) AppleWebKit/537.34 (KHTML, like Gecko)  Chrome/55.0.3615.268 Mobile Safari/600.6"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; WOW64) AppleWebKit/535.18 (KHTML, like Gecko) Chrome/55.0.1607.214 Safari/534.5 Edge/8.78730"
edge,"Mozilla/5.0 (Windows NT 10.5;; en-US) AppleWebKit/534.44 (KHTML, like Gecko) Chrome/53.0.1614.143 Safari/533.9 Edge/15.95607"
firefox,Mozilla/5.0 (Windows; U; Windows NT 10.1; x64; en-US) Gecko/20100101 Firefox/70.6
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.3; x64; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4; like Mac OS X) AppleWebKit/602.29 (KHTML, like Gecko)  Chrome/50.0.3082.352 Mobile Safari/601.4"
chrome,"Mozilla/5.0 (Windows NT 10.3; WOW64; en-US) AppleWebKit/601.40 (KHTML, like Gecko) Chrome/52.0.2117.336 Safari/535"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_9_6 like Mac OS X) AppleWebKit/600.50 (KHTML, like Gecko)  Chrome/55.0.3160.240 Mobile Safari/535.8"
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/48.1
linux,Mozilla/5.0 (Linux i651 x86_64) Gecko/20100101 Firefox/51.0
android,"Mozilla/5.0 (Android; Android 4.4; XT1080 Build/SU6-7.3) AppleWebKit/533.24 (KHTML, like Gecko)  Chrome/49.0.3602.106 Mobile Safari/533.0"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.0; Win64; x64; en-US Trident/4.0)
android,"Mozilla/5.0 (Linux; Android 5.0.2; HTC Butterfly S 901 Build/LRX22G) AppleWebKit/602.3 (KHTML, like Gecko)  Chrome/51.0.1226.312 Mobile Safari/535.6"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_1_1) Gecko/20100101 Firefox/58.1
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_0_9; like Mac OS X) AppleWebKit/602.38 (KHTML, like Gecko)  Chrome/52.0.1437.333 Mobile Safari/537.2"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_2) AppleWebKit/601.18 (KHTML, like Gecko) Chrome/50.0.2612.310 Safari/603"
firefox,Mozilla/5.0 (Linux i676 ; en-US) Gecko/20100101 Firefox/60.6
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2; like Mac OS X) AppleWebKit/535.8 (KHTML, like Gecko)  Chrome/48.0.2208.186 Mobile Safari/536.6"
firefox,Mozilla/5.0 (Windows; Windows NT 6.0;; en-US) Gecko/20130401 Firefox/54.4
android,"Mozilla/5.0 (Linux; Android 6.0.1; HTC One M8 Build/MRA58K) AppleWebKit/602.42 (KHTML, like Gecko)  Chrome/51.0.1292.157 Mobile Safari/601.0"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_9_9 like Mac OS X) AppleWebKit/534.33 (KHTML, like Gecko)  Chrome/55.0.1965.237 Mobile Safari/536.3"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; WOW64) AppleWebKit/603.30 (KHTML, like Gecko) Chrome/53.0.2912.305 Safari/534.7 Edge/11.29945"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_6; like Mac OS X) AppleWebKit/534.24 (KHTML, like Gecko)  Chrome/54.0.2759.356 Mobile Safari/536.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_8_7; like Mac OS X) AppleWebKit/601.4 (KHTML, like Gecko)  Chrome/49.0.3925.232 Mobile Safari/603.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_4_3; like Mac OS X) AppleWebKit/600.27 (KHTML, like Gecko)  Chrome/50.0.1635.202 Mobile Safari/600.5"
linux,Mozilla/5.0 (Linux; Linux i683 x86_64; en-US) Gecko/20130401 Firefox/53.2
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_9; like Mac OS X) AppleWebKit/533.24 (KHTML, like Gecko)  Chrome/55.0.1477.223 Mobile Safari/603.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_3; like Mac OS X) AppleWebKit/533.26 (KHTML, like Gecko)  Chrome/54.0.2886.247 Mobile Safari/536.0"
mobile,"Mozilla/5.0 (Linux; U; Android 5.1.1; MOTOROLA MOTO G Build/LXB22) AppleWebKit/536.40 (KHTML, like Gecko)  Chrome/55.0.1102.171 Mobile Safari/534.2"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.1; WOW64; en-US) Gecko/20100101 Firefox/60.2
windows,Mozilla/5.0 (Windows; Windows NT 10.1;; en-US) Gecko/20100101 Firefox/46.0
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_8_5) AppleWebKit/603.48 (KHTML, like Gecko) Chrome/54.0.3503.186 Safari/534"
windows,Mozilla/5.0 (Windows; Windows NT 6.1;) Gecko/20100101 Firefox/52.4
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2; WOW64) AppleWebKit/601.46 (KHTML, like Gecko) Chrome/54.0.1036.392 Safari/536.5 Edge/17.92922"
linux,"Mozilla/5.0 (U; Linux i666 ; en-US) AppleWebKit/600.7 (KHTML, like Gecko) Chrome/52.0.1941.386 Safari/535"
linux,Mozilla/5.0 (Linux i663 x86_64) Gecko/20100101 Firefox/57.3
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.2;; en-US Trident/7.0)
edge,"Mozilla/5.0 (Windows NT 10.3;) AppleWebKit/602.17 (KHTML, like Gecko) Chrome/49.0.2637.124 Safari/603.5 Edge/10.56774"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_2_5; like Mac OS X) AppleWebKit/534.19 (KHTML, like Gecko)  Chrome/47.0.3002.302 Mobile Safari/536.6"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.2; x64 Trident/4.0)
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_0_2) Gecko/20130401 Firefox/69.7
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Xperia V Build/NDE63X) AppleWebKit/533.41 (KHTML, like Gecko)  Chrome/55.0.3793.160 Mobile Safari/535.5"
mobile,"Mozilla/5.0 (Android; Android 5.1; SAMSUNG SM-G935T Build/LMY47X) AppleWebKit/533.29 (KHTML, like Gecko)  Chrome/52.0.3864.164 Mobile Safari/600.5"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_1_2 like Mac OS X) AppleWebKit/535.10 (KHTML, like Gecko)  Chrome/50.0.1516.272 Mobile Safari/600.1"
linux,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/53.5
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_9_7 like Mac OS X) AppleWebKit/603.33 (KHTML, like Gecko)  Chrome/47.0.1549.320 Mobile Safari/536.0"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_5; en-US) AppleWebKit/603.18 (KHTML, like Gecko) Chrome/50.0.3935.110 Safari/533"
